338,STN,LambertOfLondon,-0.2452552,51.528479,2017/11/01-2017/12/31
338,STN,LambertOfLondon,-0.2452552,51.528479,2017/02/16-2017/04/30
338,LHR,LambertOfLondon,-0.2452552,51.528479,2017/02/16-2017/04/30
338,LHR,LambertOfLondon,-0.2452552,51.528479,2017/05/01-2017/10/31
338,LHR,LambertOfLondon,-0.2452552,51.528479,2017/11/01-2017/12/23
338,LHR,LambertOfLondon,-0.2452552,51.528479,2017/12/24-2017/12/26
338,LHR,LambertOfLondon,-0.2452552,51.528479,2017/12/27-2017/12/31
357,MAD,equestrianstatueofCarlosIII,-3.7035446,40.4170119,2017/05/01-2017/10/31
357,MAD,equestrianstatueofCarlosIII,-3.7035446,40.4170119,2017/11/01-2017/12/31
357,MAD,equestrianstatueofCarlosIII,-3.7035446,40.4170119,2016/10/18-2017/04/30
361,MXP,PalazzodeiGiureconsulti,9.1882297,45.4649606,2016/11/01-2017/04/16
361,MXP,PalazzodeiGiureconsulti,9.1882297,45.4649606,2017/04/17-2017/04/22
361,MXP,PalazzodeiGiureconsulti,9.1882297,45.4649606,2017/04/23-2017/12/31
712,MRS,ParkingH_teldeVille,5.914893,45.688165,2016/11/01-2017/12/31
722,MAN,VirginMoneyLounge,-0.132712,51.509796,2017/02/17-2017/12/31
775,NCE,KiosqueChezTintin,7.2615372,43.7102326,2017/05/11-2017/05/18
775,NCE,KiosqueChezTintin,7.2615372,43.7102326,2017/05/19-2017/12/31
775,NCE,KiosqueChezTintin,7.2615372,43.7102326,2016/11/01-2017/05/10
343,CIA,HotelQuirinale,12.4948717,41.9016621,2016/11/01-2017/12/31
1418,ZAG,OrdinacijaVu_i_,15.9821542,45.8149322,2016/11/01-2017/12/31
713,LYS,PalaceoftheLyonStockExchange,4.8361026,45.7641609,2016/12/27-2017/12/31
420,ARN,StockholmStadhus,18.0543456,59.3274506,2017/05/01-2017/10/31
420,ARN,StockholmStadhus,18.0543456,59.3274506,2017/11/01-2017/12/31
420,ARN,StockholmStadhus,18.0543456,59.3274506,2016/11/01-2017/04/30
434,ZRH,ZürichHB,8.5401898,47.377938,2016/11/03-2017/12/31
792,SOF,SvetaPetkaChurch,24.7548417,42.1445722,2016/11/01-2017/12/31
193,TXL,BerlinerDom,13.3889212,52.5190795,2016/10/27-2017/03/30
193,TXL,BerlinerDom,13.3889212,52.5190795,2017/03/31-2017/10/31
193,TXL,BerlinerDom,13.3889212,52.5190795,2017/11/01-2017/12/31
688,TSF,Venezia-Mestre,12.231655,45.4825671,2016/11/01-2017/12/31
688,VCE,Venezia-Mestre,12.231655,45.4825671,2016/11/01-2017/12/31
651,VIE,DomkircheSt.Stephan,16.3731081,48.2084527,2016/11/01-2017/12/31
1263,TRN,PiazzaCastello,8.573077,45.935246,2017/3/21-2017/12/31
366,SVO,Краснаяплощадь（喀山大教堂）,37.619255,55.755455,2017/3/21-2017/12/31
1248,HAJ,DeutscheMesseAG,9.806113,52.322855,2017/3/21-2017/12/31
709,CGN,CologneCityHall,6.9594015,50.938069,2017/3/21-2017/12/31
