酒店名称,fishtrip_id,mddid_old,mddid_get,poiid_get,国家
澎湖小鱼的家民宿,e_EqfdO0i4E,11066,11066,8280669,台湾
金门小两口民宿,mThu1PFEq90,25339,,,台湾
垦丁东风独栋庭园民宿,1MWUl-oIBzY,21434,27771,6495259,台湾
垦丁月牙泉度假村,PsSgjtSmNVc,21434,27771,8284667,台湾
垦丁866VILLA,G5U6kHa6U5I,21434,27771,8089015,台湾
垦丁很久以前,Hat4CF6NhMc,21434,21434,8089002,台湾
禾田农场民宿,qHTjEy_F7fM,21434,21434,8284995,台湾
垦丁峰情海湾馆,QMyyeeVBqwA,21434,27771,8282904,台湾
爱情海 牧场villa馆,FoxRrm82gns,21434,,,台湾
爱情海-恒春五号美术馆,SUCNx31ov4w,21434,27771,8073828,台湾
垦丁华泰瑞苑宾馆,S3NhjMDH_Ic,21434,21434,6581700,台湾
天际线民宿,lumdAkOEXFg,27771,21434,6258024,台湾
大树房民宿,wON175neF5o,21434,27771,8283146,台湾
垦丁幸运草景观别墅,fOcZarvBtJQ,27771,21434,8283928,台湾
宝岛窑民宿,hPAVOlYy6yo,21434,21434,7006041,台湾
森山雅筑民宿,NUxRlqqjNxM,21434,27771,8284576,台湾
垦丁灰面鹫民宿,wBJTc6i2fao,21434,21434,8285882,台湾
垦丁蓝杉海景山庄民宿,4sHzI_ET9sg,21434,27771,6493829,台湾
波拉波拉民宿,dPPc4r04HPs,21434,27771,8280511,台湾
垦丁日春民宿,wfC0kG5qYxQ,27771,21434,5533857,台湾
垦丁星宇民宿,nSiWjvWCfD0,21434,27771,8280526,台湾
暖阳洋民宿,dWqnz2pW628,21434,27771,8079928,台湾
月光冷泉VILLA民宿,G-3Hto5x_Uo,21434,21434,8283144,台湾
月芫闲居民宿,PopvvukHRFI,27771,27771,8284635,台湾
垦丁南点民宿,r53eq5XYDtE,21434,10765,8073796,台湾
上咏旅店民宿,hEUKkk6y0AY,21434,27771,8088981,台湾
垦丁漫居民宿,dZ1basMQXiM,21434,27771,8285827,台湾
丁香雅筑民宿,Ls8Uvyhxn2U,27771,21434,7006070,台湾
垦丁慢生活民宿,_R5El26Iqd0,21434,27771,8073818,台湾
南湾海神堡民宿,2oenf43-zF0,21434,21434,8280380,台湾
垦丁美胜旅店,fWm3zCXlnuY,27771,27771,8079931,台湾
垦丁咪豆旅栈,mvktnj9Bz6c,27771,16405,8285906,台湾
椰林之家民宿,VOo7P-vNELE,21434,27771,8283781,台湾
乐夏天晴民宿,L4ph14L8OWY,21434,27771,8073803,台湾
小默契,qDYi9gytSC4,21434,27771,8078808,台湾
山樵水居民宿,MN5ZW_K_HpE,27771,27771,8283090,台湾
垦丁太平洋旅店1馆,JMi2qB-BGeQ,21434,27771,8085393,台湾
垦丁太平洋旅店2馆,4ZUw4iSwbZE,21434,27771,8085374,台湾
垦丁博士家民宿,skFskdBRLH8,21434,27771,8283012,台湾
芬享之家民宿,rc8jWT17FO0,21434,21434,8282759,台湾
